Coin,trades,volume,avg_pnl,win_rate,maker_rate
HYPE,68005,141990206.05,20.99598995015776,41.499889713991614,40.98375119476509
@107,29982,55760857.79,47.93165704608354,46.77473150557001,35.698085517977454
BTC,26064,644232116.63,32.76414179403309,35.0828729281768,28.98634131368938
ETH,11158,118280994.07,51.64371201771986,35.992113281950175,45.75192686861445
SOL,10691,125074752.06,59.095946572316706,39.4630998035731,29.913010943784492
FARTCOIN,4650,8311390.4,7.195774707070961,32.83870967741935,27.978494623655912
MELANIA,4428,7040710.45,68.34592036111098,44.39927732610659,86.51761517615176
PURR/USDC,2757,1642416.72,23.699391978817495,35.87232499093218,10.301051867972435
WLD,1983,2792841.63,12.132026843126573,35.854765506807865,23.34846192637418
SUI,1979,7781167.59,70.39897661962593,42.395149065184434,21.627084386053564
TRUMP,1920,7349346.94,22.94820588902077,34.947916666666664,46.302083333333336
XRP,1774,5343210.53,7.729064767824089,32.2435174746336,55.97519729425028
kPEPE,1730,2450800.07,10.93724272647397,28.497109826589593,27.45664739884393
kBONK,1647,2995780.58,21.149866718979954,37.340619307832426,57.25561627200971
FTT,1560,384755.3,4.429079337820513,34.294871794871796,44.743589743589745
ONDO,1463,1726582.09,16.096518832836626,48.46206425153793,81.13465481886534
@142,1299,2486347.4,4.878314820508078,20.93918398768283,84.06466512702079
PAXG,1265,3047336.39,-6.61833348458498,16.363636363636363,65.61264822134387
ZRO,1239,1213825.42,73.48472456506836,36.72316384180791,54.56012913640033
PURR,1198,1098592.1,17.085815216327195,68.11352253756262,58.51419031719532
PENDLE,1165,619760.27,6.828745341665236,45.32188841201717,18.19742489270386
POPCAT,1152,803456.85,-5.9903840915625,14.756944444444445,49.47916666666667
TAO,1082,1693805.35,15.750276775896488,54.89833641404805,82.62476894639556
BERA,1054,2056756.0,70.46746379536991,51.61290322580645,71.06261859582543
JELLY,992,2193971.31,31.845138008749977,80.94758064516128,36.99596774193548
ENA,990,1625400.5,93.34704385587845,31.313131313131315,56.060606060606055
PENGU,927,1012148.96,6.299439603710895,41.10032362459547,34.41208198489752
@4,885,87457.2,-0.10597145025988701,10.056497175141244,12.655367231638417
DOGE,826,2452103.46,43.92302057157374,48.6682808716707,20.702179176755447
AIXBT,819,1273650.18,64.26461719140401,58.119658119658126,20.268620268620268
VINE,811,676727.95,5.890570540073982,38.964241676942045,68.9272503082614
ZEREBRO,769,1320048.45,27.52526043953186,80.49414824447334,62.41872561768531
TNSR,693,415869.25,7.368347425685426,40.115440115440116,24.81962481962482
APE,692,655500.97,14.062731127167629,33.38150289017341,10.982658959537572
ANIME,660,590255.83,27.39428616878784,32.57575757575758,16.818181818181817
JUP,644,1496950.4,46.26284727236012,45.807453416149066,8.074534161490684
USUAL,598,962189.37,42.3845511157858,54.0133779264214,59.030100334448164
W,592,306770.28,2.692157910472973,34.45945945945946,19.08783783783784
