model,fold,roc_auc,pr_auc,f1@0.5,brier
hgb,1,0.9719166471055898,0.957123868447348,0.9300288885510111,0.05473958871439476
hgb,2,0.9929008269216156,0.9873044510879061,0.9641113784805775,0.02857919394167236
hgb,3,0.9961457955195423,0.9946214034654258,0.9740720611272738,0.019144073436313747
hgb,4,0.9924949829038311,0.9870609837500467,0.9507423338420979,0.030704372346915098
hgb,5,0.9943634502532235,0.9897179839750115,0.951969696969697,0.027810531412908134
rf,1,0.9866336979203248,0.9764469266909755,0.9588586803491537,0.03922211521755956
rf,2,0.9926125055468863,0.9840184550152026,0.9592821167624317,0.02737271870286182
rf,3,0.9957167408027108,0.9935944723522836,0.9722980130324528,0.019671722690864094
rf,4,0.991491207301413,0.9851734784622995,0.9512435707743254,0.03014557087533499
rf,5,0.9924826366478396,0.9858424152201226,0.9450390951188036,0.029835881058313102
logreg,1,0.6967695139903771,0.6521058075441977,0.43990524292674205,0.2302692229343097
logreg,2,0.7309765047122819,0.6494286009391278,0.42880177365716016,0.21596600848896316
logreg,3,0.726290790850014,0.6517597261722263,0.21297892453984318,0.22600324545383216
logreg,4,0.7420783981006139,0.6470209349405998,0.3077189939288812,0.21319684380839427
logreg,5,0.7821251814338758,0.6621989070570987,0.33498123771517063,0.19655268806815432
