thr,alpha,gate,n,total_pnl,hit_rate,pf,max_dd,score
0.38,1.0,0.01,76096,8146845.1771641765,0.9166973296888141,14.365849480622586,-125832.8642567182,8033941.577440019
0.38,1.0,0.0,76243,8146843.952624101,0.9160447516493317,14.365066085191058,-125832.8642567182,8033939.647844055
0.38,1.0,0.02,75938,8146808.61540061,0.9176433406199794,14.369627011674272,-125832.8642567182,8033908.415454398
0.38,1.0,0.03,75751,8145955.148150509,0.9182849071299389,14.37582601102912,-125832.8642567182,8033060.527303717
0.38,1.0,0.05,75397,8145512.68023329,0.9201294481212781,14.412941202652444,-125743.60421516467,8032740.723100513
0.38,1.0,0.08,74886,8137430.005782026,0.9221616857623588,14.50419228502385,-125743.60421516467,8024740.174623382
0.39,1.0,0.0,76096,8135164.90309,0.9166973296888141,14.533080068486363,-124465.520153814,8023779.154997824
0.39,1.0,0.01,75938,8135136.129134145,0.9176433406199794,14.534502926722386,-124465.520153814,8023751.661614381
0.39,1.0,0.05,75215,8134969.534782918,0.9210795718939041,14.60962123760915,-124402.53450079262,8023715.659395974
0.39,1.0,0.02,75751,8134567.27075978,0.9182849071299389,14.53837973909408,-124465.520153814,8023186.292371151
0.39,1.0,0.03,75552,8134448.511720199,0.9193138500635324,14.552801848451697,-124402.53450079262,8023143.498883013
0.39,1.0,0.08,74719,8129440.825026209,0.922763955620391,14.726048942099537,-124053.24637431465,8018641.022699784
0.4,1.0,0.05,75035,8123054.297035913,0.9217565136269741,14.79062939604746,-123016.76246260386,8013349.101029752
0.4,1.0,0.0,75938,8123074.559992129,0.9176433406199794,14.709719020914589,-123052.59791414253,8013260.70919681
0.4,1.0,0.01,75751,8122799.797456026,0.9182849071299389,14.711052495266202,-123052.59791414253,8012987.146787623
0.4,1.0,0.02,75552,8122707.12466667,0.9193138500635324,14.71978978049744,-123016.76246260386,8012938.173006514
0.4,1.0,0.03,75397,8122533.273119232,0.9201294481212781,14.730334544973129,-123016.76246260386,8012773.811747104
0.4,1.0,0.08,74537,8117990.666003911,0.9235413284677408,14.910715690575024,-122707.03764315136,8008703.272482277
0.41000000000000003,1.0,0.03,75215,8110927.012136102,0.9210795718939041,14.930220026244735,-121584.01510109287,8002780.195058629
0.41000000000000003,1.0,0.0,75751,8110633.426752144,0.9182849071299389,14.894819503274904,-121591.78000533581,8002446.984299755
0.41000000000000003,1.0,0.01,75552,8110567.72449268,0.9193138500635324,14.897348758689715,-121584.01510109287,8002391.3232744085
0.41000000000000003,1.0,0.02,75397,8110459.34734744,0.9201294481212781,14.903952534520858,-121584.01510109287,8002288.889527416
