thr,n,total,pf,dd,hit,score
0.48,74855,9610083.722476998,19.29493291194082,-85395.77298400179,0.9435575445862,9547841.868987326
0.47,75073,9601972.630539,18.53715418412775,-85395.77298400179,0.9423760872750523,9538821.442575952
0.45999999999999996,75315,9592499.1025,18.069080350977615,-85395.77298400179,0.9405828852154285,9528786.22593717
0.45,75529,9555229.785421,16.821310948375963,-92156.5336660035,0.9390168014934661,9483258.824893048
0.5,74447,9499446.917822,20.709023187525013,-85561.40568400174,0.9458138004217765,9438736.339963028
0.49,74652,9492627.136434,19.93975707712731,-85434.36468400247,0.9447034238868349,9431120.48024255
0.56,72932,9485452.925085,26.103225103552372,-86143.2876200024,0.9524077222618329,9430633.507589262
0.44,75786,9500981.544741,15.309507264917816,-92088.17229800299,0.9369804449370596,9427264.781160897
0.55,73206,9481505.725896,25.149700808334657,-85595.50682000257,0.9514110865229626,9426089.860046
0.5800000000000001,72276,9475615.266952,28.013422473849396,-86226.72954200394,0.9544800487021972,9423004.644378616
0.43,76030,9496055.87119,15.107856746778097,-92088.17229800299,0.9352887018282257,9422097.126988132
0.54,73504,9476514.392145999,24.33709324618744,-85684.74875200167,0.9500435350457118,9420034.155289423
0.42,76260,9493311.060883999,14.719484235716918,-92088.17229800299,0.9335169158143194,9418886.269668857
0.5700000000000001,72602,9470043.884695001,27.053444716277806,-86095.28354200348,0.953265750254814,9416412.734812532
0.52,74008,9471271.444832,21.613511273288637,-85627.6427840013,0.9480731812776997,9411580.015575945
0.5900000000000001,71912,9459669.40113,28.43625995779071,-86226.72954200394,0.9556263210590722,9407566.183537345
0.41,76459,9481710.636344,14.401565879010935,-93957.82003800198,0.9319242992976629,9405034.695360811
0.39999999999999997,76626,9480809.245858999,14.316099492158354,-93957.82003800198,0.9308198261686634,9404030.745211586
0.51,74223,9462926.558059,20.89590353985912,-85561.40568400174,0.9469032510138367,9402440.236622829
0.39,76808,9472826.778915001,14.102653793907818,-96245.37258600257,0.929499531298823,9393504.590881689
0.37,77108,9469730.967154,13.746974871222966,-98809.15511400253,0.9274913108886238,9387418.181885464
0.6000000000000001,71549,9436965.878987,29.14614026930427,-86226.72954200394,0.9567988371605474,9385714.517768161
0.53,73775,9442634.97701,21.936229436706665,-85627.6427840013,0.948912233141308,9383330.809550047
0.38,76968,9463927.124234,13.879776414849314,-98801.25308400206,0.9284377923292797,9381781.602847816
0.36,77244,9464567.962921,13.323823079956298,-98809.15511400253,0.9266480244420279,9381747.395502944
0.6100000000000001,71149,9427879.788567,30.514238054871548,-85533.07334000245,0.958102011272119,9378963.800892843
0.35,77377,9456397.485066,12.967997013232257,-98809.15511400253,0.9256755883531282,9373149.926367877
0.6200000000000001,70741,9382789.093403999,31.037716236363675,-83738.80752400309,0.959160882656451,9336295.545363633
0.63,70315,9323725.934558999,31.968282240639617,-83673.15426600166,0.9600511981796203,9278414.718981765
0.64,69892,9282071.929833,32.949254103480165,-83675.46426600218,0.9610112745378584,9237935.570491174
0.65,69452,9114858.756308,34.00736936577566,-83675.46426600218,0.9622905027932961,9071992.13528093
0.66,68994,9048350.832883999,35.59985830325981,-83675.46426600218,0.9633301446502595,9007395.198581908
0.67,68514,8911438.189131,37.139576346436606,-83675.46426600218,0.9640657383892344,8872330.21648072
0.68,67990,8787960.235791001,36.942570528693786,-83724.25726599991,0.9649213119576409,8748567.063159434
0.6900000000000001,67435,8711398.291684,37.11976868950641,-83715.5324339997,0.9656706458070735,8672226.481677407
0.7000000000000001,66784,8675165.557872001,38.978496152950285,-83849.06233400013,0.9668782942022042,8638090.690921541
0.7100000000000001,66084,8597326.682191,39.66695026680984,-83849.06233400013,0.9677531626414866,8561077.960177172
0.72,65276,8536087.301174,40.82697325927932,-83849.06233400013,0.9690391568110791,8501230.606751136
0.73,64377,8425313.302302,41.19506943540796,-83849.06233400013,0.9700514158783416,8390898.32329049
0.74,63358,8268882.713353,40.93171305335411,-83849.06233400013,0.9711480791691657,8234151.706683025
0.75,62232,8161401.062513,41.2906980169443,-83849.06233400013,0.9722168659210696,8127100.837799333
0.76,60895,8062716.569374999,43.86665607336461,-83056.5673790006,0.9735610477050661,8032299.989284036
0.77,59461,7918109.087374001,44.00624066345831,-83056.5673790006,0.9749415583323523,7887860.0087911505
0.78,57989,7711402.669626,45.97074477204391,-83056.5673790006,0.9764610529583196,7683510.995973452
0.79,56372,7527813.950427999,91.28495613720328,-10887.227850000374,0.9778613496061874,7626468.669942643
0.8,54524,7340792.357293,102.02973191590158,-10887.227850000374,0.9796603330643386,7452340.807742082
