iter	Passed	Remaining
0	41	12395
1	68	10206
2	89	8885
3	108	8041
4	128	7573
5	147	7208
6	166	6984
7	187	6856
8	206	6678
9	225	6546
10	243	6408
11	264	6340
12	283	6266
13	302	6182
14	322	6119
15	341	6060
16	360	6007
17	378	5933
18	397	5872
19	416	5832
20	436	5797
21	455	5753
22	474	5716
23	495	5696
24	515	5671
25	534	5628
26	551	5580
27	569	5536
28	589	5504
29	610	5498
30	630	5469
31	648	5435
32	666	5389
33	684	5356
34	702	5322
35	721	5291
36	740	5260
37	756	5215
38	773	5173
39	791	5144
40	810	5117
41	826	5075
42	845	5051
43	863	5023
44	885	5016
45	908	5016
46	935	5033
47	963	5059
48	992	5081
49	1023	5119
50	1051	5135
51	1091	5203
52	1120	5221
53	1150	5242
54	1185	5278
55	1221	5324
56	1254	5349
57	1292	5392
58	1321	5398
59	1351	5405
60	1383	5419
61	1414	5431
62	1449	5451
63	1479	5454
64	1498	5417
65	1516	5376
66	1533	5334
67	1554	5304
68	1578	5284
69	1601	5262
70	1622	5232
71	1638	5188
72	1655	5147
73	1674	5113
74	1690	5072
75	1708	5034
76	1726	5000
77	1742	4960
78	1759	4922
79	1776	4884
80	1793	4850
81	1810	4814
82	1829	4782
83	1846	4747
84	1862	4712
85	1880	4679
86	1897	4644
87	1914	4611
88	1929	4575
89	1945	4539
90	1962	4506
91	1977	4471
92	1994	4438
93	2011	4407
94	2026	4372
95	2041	4338
96	2058	4307
97	2076	4280
98	2094	4252
99	2110	4221
100	2128	4193
101	2144	4162
102	2162	4136
103	2178	4105
104	2197	4081
105	2215	4054
106	2234	4031
107	2252	4004
108	2269	3976
109	2288	3952
110	2304	3924
111	2320	3895
112	2340	3873
113	2359	3849
114	2378	3825
115	2392	3795
116	2411	3771
117	2428	3744
118	2446	3721
119	2463	3695
120	2479	3667
121	2493	3638
122	2509	3611
123	2525	3585
124	2542	3559
125	2558	3533
126	2574	3507
127	2593	3484
128	2611	3461
129	2626	3434
130	2643	3410
131	2661	3386
132	2678	3363
133	2696	3340
134	2711	3313
135	2728	3290
136	2745	3266
137	2760	3240
138	2777	3216
139	2794	3193
140	2812	3171
141	2829	3148
142	2850	3129
143	2867	3106
144	2882	3081
145	2898	3057
146	2915	3034
147	2934	3014
148	2951	2990
149	2967	2967
150	2981	2942
151	2999	2920
152	3017	2898
153	3034	2876
154	3053	2856
155	3069	2832
156	3085	2810
157	3103	2788
158	3120	2766
159	3135	2743
160	3153	2722
161	3171	2701
162	3189	2680
163	3205	2658
164	3228	2641
165	3250	2624
166	3270	2604
167	3287	2583
168	3308	2564
169	3328	2545
170	3349	2526
171	3372	2509
172	3399	2495
173	3425	2480
174	3449	2464
175	3467	2442
176	3484	2421
177	3501	2399
178	3517	2378
179	3533	2355
180	3548	2333
181	3565	2311
182	3581	2289
183	3598	2268
184	3615	2247
185	3632	2226
186	3648	2204
187	3663	2182
188	3680	2161
189	3696	2139
190	3711	2118
191	3728	2097
192	3745	2076
193	3762	2055
194	3778	2034
195	3793	2012
196	3811	1992
197	3828	1972
198	3845	1951
199	3861	1930
200	3878	1910
201	3894	1889
202	3910	1868
203	3930	1849
204	3947	1829
205	3967	1810
206	3985	1790
207	4005	1771
208	4022	1751
209	4039	1731
210	4055	1710
211	4073	1690
212	4090	1670
213	4104	1649
214	4120	1628
215	4139	1609
216	4156	1589
217	4172	1569
218	4189	1549
219	4207	1529
220	4223	1509
221	4239	1489
222	4256	1469
223	4273	1449
224	4289	1429
225	4306	1409
226	4329	1392
227	4353	1374
228	4375	1356
229	4398	1338
230	4424	1321
231	4453	1305
232	4480	1288
233	4503	1270
234	4531	1253
235	4565	1237
236	4592	1220
237	4626	1205
238	4663	1190
239	4695	1173
240	4718	1155
241	4744	1137
242	4766	1117
243	4804	1102
244	4826	1083
245	4851	1065
246	4879	1047
247	4906	1028
248	4926	1009
249	4949	989
250	4977	971
251	5000	952
252	5021	932
253	5038	912
254	5064	893
255	5083	873
256	5105	854
257	5132	835
258	5163	817
259	5190	798
260	5216	779
261	5243	760
262	5271	741
263	5304	723
264	5331	704
265	5356	684
266	5390	666
267	5420	647
268	5441	627
269	5459	606
270	5477	586
271	5495	565
272	5511	545
273	5526	524
274	5543	503
275	5560	483
276	5578	463
277	5596	442
278	5610	422
279	5627	401
280	5644	381
281	5658	361
282	5675	340
283	5693	320
284	5708	300
285	5722	280
286	5740	260
287	5757	239
288	5775	219
289	5794	199
290	5809	179
291	5826	159
292	5842	139
293	5861	119
294	5878	99
295	5895	79
296	5913	59
297	5935	39
298	5960	19
299	5984	0
